Date,Cases,Deaths,Recovered,Travel_history,Province,City,Latitude (generated),Longitude (generated),Active Cases
2020-03-29,7,0,0,Local - Social Contact,Punjab,Jehlum,32.940548,73.727631,7
2020-03-29,1,0,0,Local - Social Contact,Punjab,Gujranwala,32.1547,74.1804,1
2020-03-29,11,0,0,Local - Social Contact,Punjab,Rawalpindi,33.5546,73.1064,11
2020-03-29,5,0,0,Iran/Taftan,Punjab,Raiwind,31.254,74.217,5
2020-03-29,1,1,0,Local - Social Contact,Punjab,Rahim Yar Khan,28.424043,70.300054,0
2020-03-29,4,0,0,Unknown,AJK,Muzaffarabad,34.37,73.471,4
2020-03-29,33,2,3,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,28
2020-03-29,0,1,0,Local - Social Contact,Gilgit-Baltistan,Nagar,36.273351,74.726677,-1
2020-03-29,5,0,0,Unknown,Gilgit-Baltistan,Shigar,0.0,0.0,5
2020-03-29,2,0,0,Iran/Taftan,Gilgit-Baltistan,Kharmang,0.0,0.0,2
2020-03-29,3,0,0,Local - Social Contact,Gilgit-Baltistan,Astore,35.347533,74.861062,3
2020-03-29,2,0,0,Unknown,Gilgit-Baltistan,Ghanche,35.160867,76.341063,2
2020-03-29,1,1,0,Unknown,Khyber Pakhtunkhwa,Abbottabad,34.15,73.2138,0
2020-03-29,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,2
2020-03-29,1,1,0,Unknown,Khyber Pakhtunkhwa,Dir Lower,34.868024,71.84701,0
2020-03-30,8,0,1,Local - Social Contact,Islamabad,Islamabad,33.7194,73.0741,7
2020-03-30,11,0,1,Local - Social Contact,Punjab,Nankana,31.447,73.697,10
2020-03-30,14,0,0,Unknown,Punjab,Lahore,31.4978,74.3601,14
2020-03-30,8,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,8
2020-03-30,26,0,1,Iran/Taftan,Punjab,Raiwind,31.254,74.217,25
2020-03-30,21,4,2,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,15
2020-03-30,6,0,23,Local - Social Contact,Sindh,Sukkur,27.7221,68.8333,-17
2020-03-30,6,0,0,Local - Social Contact,Balochistan,Quetta,30.1802,66.9964,6
2020-03-30,18,0,4,Unknown,Gilgit-Baltistan,Nagar,36.273351,74.726677,14
2020-03-30,1,0,0,Local - Social Contact,FATA,Bajaur,34.782749,71.532708,1
2020-03-30,3,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,3
2020-03-30,1,0,0,Unknown,Khyber Pakhtunkhwa,Bannu,32.989,70.606,1
2020-03-30,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,1
2020-03-30,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower,34.868024,71.84701,3
2020-03-30,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra,34.333,73.2,1
2020-03-30,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,34.198,72.045,1
2020-03-30,16,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,16
2020-03-31,7,0,0,Unknown,Islamabad,Islamabad,33.7194,73.0741,7
2020-03-31,0,3,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,-3
2020-03-31,14,0,0,Local - Social Contact,Punjab,Rawalpindi,33.5546,73.1064,14
